salary,age,sector,job_group,gender,region,education_level_2,is_married,num_of_child,foreign_language,is_government,is_dang_prod,len_of_work_week,is_more_than_school,education_level,firm_size,log_salary
19000.0,36,ОБРАЗОВАНИЕ,специалисты высшего уровня квалификации,ЖЕНСКИЙ,1.0,законченное высшее образование и выше,Не в браке,0.0,Да,Да,Нет,40.0,Да,Высшее,Микро,9.852194258148577
16000.0,35,ОБРАЗОВАНИЕ,законодатели; крупные чиновники; руководители высш. и сред. звена,ЖЕНСКИЙ,1.0,законченное высшее образование и выше,Состоят в браке,1.0,Нет,Да,Нет,48.0,Да,Высшее,Крупное,9.680344001221918
28000.0,29,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ","квалифицированные рабочие, использующие машины и механизмы",МУЖСКОЙ,1.0,законченное среднее специальное образование,Не в браке,0.0,Да,Нет,Нет,36.0,Да,Профессиональное,Крупное,10.239959789157341
15000.0,50,ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ,специалисты высшего уровня квалификации,ЖЕНСКИЙ,1.0,законченное среднее образование,Состоят в браке,0.0,Нет,Да,Нет,40.0,Да,Профессиональное,Крупное,9.615805480084347
5000.0,23,"ЛЕГКАЯ, ПИЩЕВАЯ ПРОМЫШЛЕННОСТЬ","квалифицированные рабочие, занятые ручным трудом",ЖЕНСКИЙ,1.0,законченное среднее специальное образование,Не в браке,0.0,Нет,Нет,Нет,40.0,Да,Высшее,Микро,8.517193191416238
25000.0,61,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,"квалифицированные рабочие, использующие машины и механизмы",МУЖСКОЙ,1.0,законченное среднее образование,Вдовец/вдова,0.0,Нет,Да,Нет,40.0,Нет,Среднее общее,Крупное,10.126631103850338
30000.0,43,ВОЕННО-ПРОМЫШЛЕННЫЙ КОМПЛЕКС,"квалифицированные рабочие, занятые ручным трудом",ЖЕНСКИЙ,1.0,законченное среднее образование,Состоят в браке,2.0,Нет,Да,Да,46.0,Да,Профессиональное,Крупное,10.308952660644293
22000.0,53,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ","квалифицированные рабочие, занятые ручным трудом",ЖЕНСКИЙ,1.0,законченное среднее образование,Состоят в браке,0.0,Нет,Нет,Нет,40.0,Да,Профессиональное,Малое,9.998797732340453
50000.0,53,ГРАЖДАНСКОЕ МАШИНОСТРОЕНИЕ,"квалифицированные рабочие, использующие машины и механизмы",МУЖСКОЙ,1.0,законченное среднее образование,Состоят в браке,0.0,Нет,Да,Нет,40.0,Нет,Среднее общее,Крупное,10.819778284410283
18000.0,58,ОБРАЗОВАНИЕ,специалисты высшего уровня квалификации,ЖЕНСКИЙ,1.0,законченное высшее образование и выше,Вдовец/вдова,0.0,Нет,Да,Нет,40.0,Да,Высшее,Среднее,9.798127036878302
35000.0,33,"ТРАНСПОРТ, СВЯЗЬ","квалифицированные рабочие, занятые ручным трудом",МУЖСКОЙ,1.0,законченное высшее образование и выше,Состоят в браке,1.0,Нет,Да,Нет,50.0,Да,Высшее,Микро,10.46310334047155
28000.0,49,ОБРАЗОВАНИЕ,специалисты высшего уровня квалификации,ЖЕНСКИЙ,1.0,законченное высшее образование и выше,Не в браке,0.0,Да,Да,Нет,31.0,Да,Высшее,Малое,10.239959789157341
7800.0,64,ОБРАЗОВАНИЕ,работники сферы торговли и услуг,ЖЕНСКИЙ,1.0,законченное среднее специальное образование,Вдовец/вдова,0.0,Нет,Да,Нет,36.0,Да,Профессиональное,Малое,8.961879012677683
40000.0,35,"СМИ, ИЗДАТЕЛЬСТВО, ПЕЧАТЬ, ТЕЛЕКОММУНИКАЦИИ",специалисты среднего уровня квалификации; чиновники,МУЖСКОЙ,1.0,законченное высшее образование и выше,Не в браке,1.0,Да,Нет,Нет,40.0,Да,Высшее,Микро,10.596634733096073
20000.0,48,ЖИЛИЩНО-КОММУНАЛЬНОЕ ХОЗЯЙСТВО,неквалифицированные рабочие всех отраслей,МУЖСКОЙ,1.0,законченное среднее образование,Не в браке,0.0,Нет,Да,Нет,40.0,Нет,Среднее общее,Микро,9.903487552536127
37000.0,57,ОБРАЗОВАНИЕ,специалисты высшего уровня квалификации,ЖЕНСКИЙ,1.0,законченное высшее образование и выше,Вдовец/вдова,0.0,Нет,Да,Да,30.0,Да,Высшее,Малое,10.51867319162636
14000.0,53,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",работники сферы торговли и услуг,ЖЕНСКИЙ,1.0,законченное высшее образование и выше,Состоят в браке,0.0,Нет,Нет,Нет,52.0,Да,Высшее,Микро,9.546812608597396
10000.0,59,ОБРАЗОВАНИЕ,специалисты высшего уровня квалификации,МУЖСКОЙ,1.0,законченное высшее образование и выше,Состоят в браке,0.0,Нет,Да,Нет,45.0,Да,Высшее,Микро,9.210340371976184
35000.0,26,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ","квалифицированные рабочие, занятые ручным трудом",МУЖСКОЙ,1.0,законченное высшее образование и выше,Не в браке,0.0,Да,Нет,Нет,60.0,Да,Высшее,Микро,10.46310334047155
30000.0,24,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",работники сферы торговли и услуг,ЖЕНСКИЙ,1.0,законченное высшее образование и выше,Не в браке,0.0,Да,Нет,Нет,40.0,Да,Высшее,Микро,10.308952660644293
35000.0,41,ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,специалисты высшего уровня квалификации,ЖЕНСКИЙ,1.0,законченное высшее образование и выше,Состоят в браке,1.0,Нет,Нет,Нет,40.0,Да,Высшее,Малое,10.46310334047155
30000.0,40,СЕЛЬСКОЕ ХОЗЯЙСТВО,служащие офисные и по обслуживанию клиентов,ЖЕНСКИЙ,0.0,законченное среднее специальное образование,Не в браке,0.0,Нет,Да,Нет,40.0,Да,Профессиональное,Микро,10.308952660644293
25000.0,59,ЭНЕРГЕТИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,специалисты высшего уровня квалификации,ЖЕНСКИЙ,0.0,законченное высшее образование и выше,Не в браке,0.0,Нет,Нет,Нет,41.0,Да,Высшее,Малое,10.126631103850338
20000.0,72,НЕФТЕГАЗОВАЯ ПРОМЫШЛЕННОСТЬ,"квалифицированные рабочие, использующие машины и механизмы",МУЖСКОЙ,0.0,законченное среднее образование,Состоят в браке,0.0,Нет,Нет,Да,42.0,Да,Профессиональное,Среднее,9.903487552536127
25000.0,52,ОБРАЗОВАНИЕ,специалисты высшего уровня квалификации,ЖЕНСКИЙ,0.0,законченное высшее образование и выше,Не в браке,0.0,Да,Да,Нет,20.0,Да,Высшее,Малое,10.126631103850338
15700.0,50,ХИМИЧЕСКАЯ ПРОМЫШЛЕННОСТЬ,специалисты среднего уровня квалификации; чиновники,ЖЕНСКИЙ,1.0,законченное среднее образование,Состоят в браке,0.0,Нет,Да,Да,35.0,Да,Профессиональное,Крупное,9.6614159913364
20000.0,53,ОРГАНЫ УПРАВЛЕНИЯ,"квалифицированные рабочие, использующие машины и механизмы",МУЖСКОЙ,1.0,незаконченное среднее,Состоят в браке,0.0,Нет,Да,Нет,60.0,Да,Среднее общее,Микро,9.903487552536127
25000.0,30,ОРГАНЫ УПРАВЛЕНИЯ,"квалифицированные рабочие, использующие машины и механизмы",МУЖСКОЙ,1.0,законченное среднее специальное образование,Не в браке,0.0,Нет,Да,Нет,72.0,Да,Высшее,Микро,10.126631103850338
15000.0,56,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",работники сферы торговли и услуг,ЖЕНСКИЙ,1.0,законченное среднее специальное образование,Не в браке,0.0,Нет,Да,Нет,60.0,Да,Профессиональное,Микро,9.615805480084347
40000.0,30,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",работники сферы торговли и услуг,МУЖСКОЙ,1.0,законченное среднее образование,Не в браке,0.0,Да,Нет,Нет,50.0,Нет,Среднее общее,Микро,10.596634733096073
28000.0,41,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",работники сферы торговли и услуг,МУЖСКОЙ,1.0,законченное среднее образование,Состоят в браке,2.0,Нет,Да,Да,40.0,Нет,Среднее общее,Микро,10.239959789157341
25000.0,39,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",служащие офисные и по обслуживанию клиентов,МУЖСКОЙ,1.0,законченное среднее специальное образование,Не в браке,2.0,Да,Нет,Нет,40.0,Да,Профессиональное,Малое,10.126631103850338
13000.0,20,"НАУКА, КУЛЬТУРА",специалисты среднего уровня квалификации; чиновники,ЖЕНСКИЙ,1.0,законченное среднее образование,Состоят в браке,0.0,Нет,Да,Нет,40.0,Да,Профессиональное,Малое,9.472704636443673
18000.0,42,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",работники сферы торговли и услуг,ЖЕНСКИЙ,1.0,законченное среднее образование,Не в браке,1.0,Нет,Нет,Нет,84.0,Да,Профессиональное,Микро,9.798127036878302
10000.0,20,"ТОРГОВЛЯ, БЫТОВОЕ ОБСЛУЖИВАНИЕ",работники сферы торговли и услуг,ЖЕНСКИЙ,1.0,законченное среднее образование,Не в браке,0.0,Нет,Нет,Нет,60.0,Да,Профессиональное,Микро,9.210340371976184
60000.0,43,"АРМИЯ, МВД, ОРГАНЫ БЕЗОПАСНОСТИ",законодатели; крупные чиновники; руководители высш. и сред. звена,МУЖСКОЙ,0.0,законченное высшее образование и выше,Состоят в браке,1.0,Нет,Да,Да,35.0,Да,Высшее,Микро,11.002099841204238
